name,highway,UF,item,latitude,longitude,exp_km_calc
GH010080,282,SC,Rocada,-276.740.009,-487.696.765,27.0
GH010080,282,SC,Faixa Central,-276.740.009,-487.696.765,27.0
GH010080,282,SC,Faixa Lateral,-276.740.009,-487.696.765,27.0
GH010080,282,SC,Rocada,-276.737.241,-487.700.804,27.0
GH010080,282,SC,Faixa Central,-276.737.241,-487.700.804,27.0
GH010080,282,SC,Faixa Lateral,-276.737.241,-487.700.804,27.0
GH010080,282,SC,Rocada,-276.734.733,-48.770.509,27.0
GH010080,282,SC,Faixa Central,-276.734.733,-48.770.509,27.0
GH010080,282,SC,Faixa Lateral,-276.734.733,-48.770.509,27.0
GH010080,282,SC,Rocada,-276.732.613,-487.709.627,27.0
GH010080,282,SC,Faixa Central,-276.732.613,-487.709.627,27.0
GH010080,282,SC,Faixa Lateral,-276.732.613,-487.709.627,27.0
GH010080,282,SC,Placa,-276.732.204,-487.710.657,27.0
GH010080,282,SC,Rocada,-276.730.899,-487.714.319,27.0
GH010080,282,SC,Faixa Central,-276.730.899,-487.714.319,27.0
GH010080,282,SC,Faixa Lateral,-276.730.899,-487.714.319,27.0
GH010080,282,SC,Remendo,-276.730.359,-487.716.073,27.0
GH010080,282,SC,Rocada,-27.672.957,-48.771.918,27.0
GH010080,282,SC,Faixa Central,-27.672.957,-48.771.918,27.0
GH010080,282,SC,Faixa Lateral,-27.672.957,-48.771.918,27.0
GH010080,282,SC,Placa,-276.729,-48.772.202,27.0
GH010080,282,SC,Rocada,-276.728.649,-487.724.188,27.0
GH010080,282,SC,Faixa Central,-276.728.649,-487.724.188,27.0
GH010080,282,SC,Faixa Lateral,-276.728.649,-487.724.188,27.0
GH010080,282,SC,Buraco,-276.728.141,-487.728.749,27.0
GH010080,282,SC,Rocada,-276.728.106,-48.772.924,27.0
GH010080,282,SC,Faixa Central,-276.728.106,-48.772.924,27.0
GH010080,282,SC,Faixa Lateral,-276.728.106,-48.772.924,27.0
GH010080,282,SC,Rocada,-276.727.951,-487.734.319,27.0
GH010080,282,SC,Faixa Central,-276.727.951,-487.734.319,27.0
GH010080,282,SC,Faixa Lateral,-276.727.951,-487.734.319,27.0
GH010080,282,SC,Remendo,-276.728.053,-487.737.332,27.0
GH010080,282,SC,Buraco,-276.728.053,-487.737.332,27.0
GH010080,282,SC,Rocada,-276.728.212,-487.739.445,27.0
GH010080,282,SC,Faixa Central,-276.728.212,-487.739.445,27.0
GH010080,282,SC,Faixa Lateral,-276.728.212,-487.739.445,27.0
GH010080,282,SC,Placa,-27.672.837,-487.740.952,27.0
GH010080,282,SC,Placa,-276.728.515,-487.742.054,27.0
GH010080,282,SC,Trinca,-276.728.713,-487.743.358,27.0
GH010080,282,SC,Rocada,-276.728.902,-487.744.461,27.0
GH010080,282,SC,Faixa Central,-276.728.902,-487.744.461,27.0
GH010080,282,SC,Faixa Lateral,-276.728.902,-487.744.461,27.0
GH010080,282,SC,Trinca,-276.729.857,-487.748.759,27.0
GH010080,282,SC,Rocada,-276.730.046,-487.749.457,27.0
GH010080,282,SC,Faixa Central,-276.730.046,-487.749.457,27.0
GH010080,282,SC,Faixa Lateral,-276.730.046,-487.749.457,27.0
GH010080,282,SC,Rocada,-276.731.575,-487.754.274,27.0
GH010080,282,SC,Faixa Central,-276.731.575,-487.754.274,27.0
GH010080,282,SC,Faixa Lateral,-276.731.575,-487.754.274,27.0
GH010080,282,SC,Rocada,-276.733.473,-487.758.976,27.0
GH010080,282,SC,Faixa Central,-276.733.473,-487.758.976,27.0
GH010080,282,SC,Faixa Lateral,-276.733.473,-487.758.976,27.0
GH010080,282,SC,Remendo,-276.734.163,-487.760.531,27.0
GH010080,282,SC,Buraco,-276.734.163,-487.760.531,27.0
GH010080,282,SC,Buraco,-276.735.435,-48.776.333,27.0
GH010080,282,SC,Rocada,-276.735.519,-487.763.509,27.0
GH010080,282,SC,Faixa Central,-276.735.519,-487.763.509,27.0
GH010080,282,SC,Faixa Lateral,-276.735.519,-487.763.509,27.0
GH010080,282,SC,Trinca,-276.735.729,-487.763.955,27.0
GH010080,282,SC,Placa,-276.737.585,-487.767.929,27.0
GH010080,282,SC,Rocada,-276.737.627,-487.768.016,27.0
GH010080,282,SC,Faixa Central,-276.737.627,-487.768.016,27.0
GH010080,282,SC,Faixa Lateral,-276.737.627,-487.768.016,27.0
GH010080,282,SC,Trinca,-276.738.644,-487.770.204,27.0
GH010080,282,SC,Rocada,-276.739.742,-487.772.554,27.0
GH010080,282,SC,Faixa Central,-276.739.742,-487.772.554,27.0
GH010080,282,SC,Faixa Lateral,-276.739.742,-487.772.554,27.0
GH010080,282,SC,Trinca,-276.740.719,-48.777.463,27.0
GH010080,282,SC,Rocada,-27.674.187,-487.777.047,27.0
GH010080,282,SC,Faixa Central,-27.674.187,-487.777.047,27.0
GH010080,282,SC,Faixa Lateral,-27.674.187,-487.777.047,27.0
GH010080,282,SC,Rocada,-27.674.403,-487.781.577,27.0
GH010080,282,SC,Faixa Central,-27.674.403,-487.781.577,27.0
GH010080,282,SC,Faixa Lateral,-27.674.403,-487.781.577,27.0
GH010080,282,SC,Rocada,-276.746.172,-487.786.104,27.0
GH010080,282,SC,Faixa Central,-276.746.172,-487.786.104,27.0
GH010080,282,SC,Faixa Lateral,-276.746.172,-487.786.104,27.0
GH010080,282,SC,Rocada,-276.748.347,-487.790.654,28.0
GH010080,282,SC,Faixa Central,-276.748.347,-487.790.654,28.0
GH010080,282,SC,Faixa Lateral,-276.748.347,-487.790.654,28.0
GH010080,282,SC,Rocada,-276.750.484,-487.795.196,28.0
GH010080,282,SC,Faixa Central,-276.750.484,-487.795.196,28.0
GH010080,282,SC,Faixa Lateral,-276.750.484,-487.795.196,28.0
GH010080,282,SC,Placa,-27.675.146,-487.797.255,28.0
GH010080,282,SC,Rocada,-276.752.621,-487.799.699,28.0
GH010080,282,SC,Faixa Central,-276.752.621,-487.799.699,28.0
GH010080,282,SC,Faixa Lateral,-276.752.621,-487.799.699,28.0
GH010080,282,SC,Remendo,-276.754.507,-487.803.654,28.0
GH010080,282,SC,Rocada,-276.754.764,-48.780.419,28.0
GH010080,282,SC,Faixa Central,-276.754.764,-48.780.419,28.0
GH010080,282,SC,Faixa Lateral,-276.754.764,-48.780.419,28.0
GH010080,282,SC,Remendo,-276.756.396,-487.807.651,28.0
GH010080,282,SC,Placa,-276.756.473,-487.807.821,28.0
GH010080,282,SC,Rocada,-276.756.901,-487.808.733,28.0
GH010080,282,SC,Faixa Central,-276.756.901,-487.808.733,28.0
GH010080,282,SC,Faixa Lateral,-276.756.901,-487.808.733,28.0
GH010080,282,SC,Rocada,-276.758.994,-487.813.226,28.0
GH010080,282,SC,Faixa Central,-276.758.994,-487.813.226,28.0
GH010080,282,SC,Faixa Lateral,-276.758.994,-487.813.226,28.0
GH010080,282,SC,Placa,-276.759.256,-487.813.764,28.0
GH010080,282,SC,Placa,-276.760.191,-487.815.723,28.0
GH010080,282,SC,Rocada,-276.761.146,-487.817.724,28.0
GH010080,282,SC,Faixa Central,-276.761.146,-487.817.724,28.0
GH010080,282,SC,Faixa Lateral,-276.761.146,-487.817.724,28.0
GH010080,282,SC,Placa,-276.761.399,-487.818.245,28.0
GH010080,282,SC,Rocada,-276.763.294,-487.822.194,28.0
GH010080,282,SC,Faixa Central,-276.763.294,-487.822.194,28.0
