highway,exp_km_calc,Buraco,Drenagem,Faixa Central,Faixa Lateral,Placa,Remendo,Rocada,Trinca
349,935.0,1,0,16,16,1,0,16,35
349,936.0,1,0,20,20,1,2,20,27
349,937.0,0,0,20,20,0,2,20,46
349,938.0,1,0,19,19,0,1,19,41
349,939.0,0,0,20,20,0,2,20,51
349,940.0,2,0,19,19,0,0,19,66
349,941.0,3,7,20,20,0,0,20,25
349,942.0,2,0,20,20,0,1,20,17
349,943.0,0,1,19,19,0,1,19,23
349,944.0,2,0,20,20,0,1,20,27
349,945.0,1,0,19,19,0,1,19,28
349,946.0,4,0,30,30,0,2,30,42
349,948.0,2,0,29,29,1,0,29,53
349,949.0,1,0,16,16,0,1,16,9
